iter	Passed	Remaining
149	633	3591
150	637	3586
151	641	3580
152	651	3605
153	655	3599
154	658	3592
155	667	3608
156	671	3603
157	675	3597
158	682	3611
159	686	3605
160	690	3598
161	698	3611
162	702	3606
163	706	3601
164	714	3615
165	718	3608
166	722	3601
167	727	3601
168	731	3598
169	736	3593
170	741	3592
171	745	3589
172	750	3589
173	758	3600
174	764	3604
175	768	3599
176	773	3597
177	778	3594
178	783	3592
179	787	3587
180	793	3588
181	799	3594
182	804	3590
183	808	3587
184	814	3589
185	819	3585
186	824	3583
187	828	3579
188	832	3574
189	837	3572
190	842	3569
191	847	3566
192	851	3560
193	857	3561
194	861	3555
195	865	3549
196	870	3546
197	874	3540
198	879	3539
199	883	3535
200	889	3535
201	893	3531
202	898	3526
203	903	3526
204	908	3522
205	912	3517
206	916	3511
207	921	3508
208	925	3502
209	929	3496
210	935	3496
211	939	3492
212	943	3487
213	948	3482
214	953	3482
215	958	3477
216	961	3470
217	967	3469
218	971	3464
219	975	3457
220	979	3451
221	984	3450
222	988	3443
223	992	3438
224	996	3431
225	1002	3432
226	1006	3426
227	1009	3419
228	1015	3417
229	1018	3410
230	1022	3403
231	1026	3397
232	1031	3396
233	1035	3390
234	1039	3383
235	1043	3377
236	1050	3382
237	1054	3376
238	1058	3369
239	1063	3366
240	1067	3361
241	1071	3355
242	1075	3349
243	1080	3346
244	1083	3340
245	1087	3333
246	1091	3327
247	1096	3323
248	1100	3318
249	1103	3311
250	1107	3305
251	1113	3303
252	1116	3297
253	1120	3291
254	1124	3285
255	1129	3282
256	1133	3276
257	1139	3278
258	1145	3278
259	1150	3273
260	1154	3267
261	1158	3263
262	1162	3258
263	1166	3252
264	1170	3245
265	1175	3242
266	1178	3236
267	1182	3230
268	1186	3223
269	1191	3221
270	1195	3215
271	1199	3210
272	1203	3203
273	1207	3199
274	1211	3193
275	1215	3187
276	1218	3181
277	1223	3177
278	1227	3172
279	1231	3167
280	1235	3161
281	1240	3158
282	1244	3153
283	1248	3147
284	1252	3141
285	1257	3138
286	1261	3133
287	1265	3127
288	1268	3121
289	1273	3117
290	1277	3112
291	1281	3106
292	1284	3100
293	1288	3094
294	1292	3088
295	1296	3082
296	1300	3077
297	1305	3074
298	1308	3068
299	1312	3062
300	1316	3056
301	1321	3054
302	1325	3048
303	1329	3043
304	1332	3037
305	1338	3034
306	1342	3029
307	1345	3023
308	1350	3019
309	1355	3016
310	1359	3011
311	1363	3006
312	1368	3004
313	1372	2998
314	1376	2992
315	1380	2988
316	1386	2986
317	1390	2981
318	1394	2976
319	1399	2974
320	1404	2970
321	1407	2963
322	1411	2958
323	1417	2956
324	1421	2951
325	1425	2947
326	1430	2944
327	1434	2939
328	1438	2933
329	1442	2928
330	1447	2925
331	1451	2920
332	1455	2915
333	1459	2910
334	1464	2907
335	1468	2902
336	1472	2897
337	1476	2892
338	1481	2889
339	1486	2884
340	1489	2879
341	1493	2873
342	1498	2869
343	1502	2864
344	1505	2859
345	1510	2854
346	1515	2851
347	1520	2848
348	1524	2843
349	1530	2841
350	1534	2837
351	1538	2831
352	1544	2830
353	1548	2826
354	1552	2821
355	1556	2816
356	1562	2814
357	1566	2809
358	1571	2805
359	1576	2801
360	1580	2796
361	1583	2791
362	1587	2785
363	1593	2784
364	1597	2779
365	1601	2774
366	1605	2769
367	1610	2766
368	1614	2760
369	1618	2755
370	1622	2750
371	1627	2748
372	1631	2742
373	1635	2738
374	1640	2734
375	1644	2729
376	1648	2724
377	1652	2719
378	1659	2718
379	1663	2713
380	1667	2708
381	1672	2705
382	1676	2700
383	1680	2695
384	1684	2690
385	1689	2686
386	1693	2682
387	1697	2677
388	1701	2672
389	1706	2669
390	1710	2664
391	1714	2659
392	1718	2654
393	1723	2651
394	1727	2645
395	1731	2640
396	1736	2636
397	1739	2631
398	1743	2626
399	1747	2621
400	1752	2617
401	1756	2613
402	1761	2608
403	1765	2604
404	1770	2601
405	1775	2597
406	1778	2591
407	1782	2586
408	1787	2583
409	1791	2578
410	1795	2573
411	1800	2569
412	1805	2565
413	1808	2560
414	1812	2555
415	1818	2552
416	1822	2548
417	1826	2543
418	1830	2537
419	1835	2534
420	1838	2528
421	1842	2524
422	1846	2518
423	1851	2515
424	1855	2510
425	1861	2508
426	1866	2504
427	1870	2500
428	1874	2495
429	1878	2490
430	1884	2487
431	1888	2482
432	1892	2477
433	1896	2473
434	1900	2469
435	1905	2464
436	1910	2461
437	1915	2457
438	1919	2452
439	1923	2447
440	1927	2442
441	1932	2439
442	1935	2434
443	1939	2429
444	1943	2424
445	1948	2420
446	1952	2415
447	1956	2410
448	1961	2407
449	1965	2402
450	1969	2396
451	1972	2391
452	1978	2388
453	1982	2383
454	1986	2378
455	1990	2374
456	1996	2372
457	2000	2367
458	2004	2362
459	2010	2360
460	2014	2355
461	2018	2350
462	2022	2345
463	2027	2342
464	2031	2337
465	2036	2333
466	2042	2330
467	2045	2325
468	2049	2320
469	2054	2316
470	2059	2312
471	2063	2307
472	2066	2302
473	2070	2298
474	2075	2294
475	2079	2289
476	2083	2284
477	2087	2279
478	2092	2276
479	2096	2271
480	2100	2266
481	2105	2262
482	2109	2258
483	2113	2253
484	2118	2249
485	2124	2246
486	2128	2241
487	2132	2236
488	2135	2231
489	2140	2228
490	2144	2223
491	2148	2218
492	2152	2213
493	2157	2210
494	2161	2205
495	2165	2200
496	2170	2196
497	2174	2191
498	2178	2187
499	2182	2182
500	2188	2179
501	2192	2175
502	2196	2170
503	2202	2167
504	2206	2162
505	2210	2157
506	2214	2152
507	2220	2150
508	2224	2145
509	2227	2140
510	2231	2135
511	2236	2131
512	2240	2127
513	2244	2122
514	2248	2117
515	2252	2112
516	2256	2108
517	2260	2103
518	2264	2098
519	2268	2094
520	2272	2089
521	2276	2084
522	2281	2081
523	2288	2078
524	2293	2074
525	2298	2070
526	2302	2066
527	2306	2061
528	2310	2056
529	2315	2053
530	2319	2048
531	2323	2043
532	2327	2039
533	2332	2035
534	2336	2030
535	2340	2026
536	2345	2022
537	2349	2017
538	2353	2012
539	2357	2008
540	2363	2005
541	2367	2000
542	2371	1995
543	2375	1991
544	2381	1988
545	2386	1984
546	2391	1980
547	2397	1977
548	2401	1972
549	2405	1968
550	2411	1965
551	2415	1960
552	2419	1955
553	2423	1951
554	2429	1947
555	2433	1943
556	2437	1938
557	2442	1934
558	2446	1929
559	2450	1925
560	2454	1920
561	2459	1916
562	2462	1911
563	2466	1906
564	2471	1902
565	2476	1898
566	2480	1894
567	2484	1889
568	2488	1884
569	2493	1881
570	2497	1876
571	2501	1871
572	2505	1866
573	2509	1862
574	2513	1858
575	2517	1853
576	2522	1849
577	2526	1844
578	2530	1840
579	2534	1835
580	2539	1831
581	2543	1826
582	2548	1822
583	2552	1818
584	2557	1814
585	2562	1810
586	2566	1805
587	2571	1801
588	2577	1798
589	2582	1794
590	2592	1794
591	2596	1789
592	2600	1785
593	2607	1782
594	2612	1778
595	2616	1773
596	2622	1770
597	2629	1767
598	2634	1763
599	2639	1759
600	2646	1756
601	2651	1753
602	2656	1749
603	2661	1745
604	2665	1740
605	2676	1740
606	2684	1737
607	2691	1735
608	2695	1730
609	2702	1727
610	2708	1724
611	2712	1719
612	2717	1715
613	2723	1712
614	2727	1707
615	2732	1703
616	2737	1699
617	2742	1695
618	2746	1690
619	2750	1686
620	2756	1682
621	2760	1677
622	2765	1673
623	2770	1669
624	2774	1664
625	2779	1660
626	2783	1656
627	2789	1652
628	2793	1647
629	2797	1643
630	2801	1638
631	2806	1633
632	2809	1629
633	2815	1625
634	2819	1620
635	2823	1615
636	2828	1611
637	2832	1607
638	2836	1602
639	2840	1597
640	2845	1593
641	2849	1589
642	2853	1584
643	2857	1579
644	2862	1575
645	2867	1571
646	2871	1566
647	2876	1562
648	2880	1557
649	2883	1552
650	2887	1548
651	2892	1543
652	2896	1539
653	2901	1534
654	2904	1530
655	2910	1526
656	2914	1521
657	2918	1516
658	2922	1512
659	2927	1507
660	2931	1503
661	2935	1498
662	2938	1493
663	2943	1489
664	2947	1484
665	2951	1480
666	2955	1475
667	2959	1470
668	2963	1466
669	2967	1461
670	2973	1457
671	2977	1453
672	2981	1448
673	2985	1443
674	2990	1439
675	2994	1435
676	2998	1430
677	3002	1425
678	3007	1422
679	3011	1417
680	3015	1412
681	3020	1408
682	3024	1403
683	3028	1399
684	3032	1394
685	3038	1390
686	3042	1386
687	3046	1381
688	3050	1376
689	3057	1373
690	3062	1369
691	3066	1364
692	3071	1360
693	3075	1355
694	3078	1351
695	3083	1346
696	3088	1342
697	3092	1338
698	3096	1333
699	3101	1329
700	3106	1324
701	3110	1320
702	3114	1315
703	3118	1311
704	3122	1306
705	3126	1302
706	3130	1297
707	3135	1293
708	3139	1288
709	3143	1283
710	3147	1279
711	3152	1275
712	3156	1270
713	3160	1265
714	3165	1261
715	3169	1257
716	3173	1252
717	3177	1247
718	3181	1243
719	3185	1238
720	3189	1234
721	3193	1229
722	3198	1225
723	3202	1220
724	3206	1216
725	3210	1211
726	3215	1207
727	3219	1202
728	3223	1198
729	3227	1193
730	3232	1189
731	3236	1184
732	3240	1180
733	3243	1175
734	3248	1171
735	3252	1166
736	3256	1162
737	3261	1157
738	3265	1153
739	3269	1148
740	3273	1144
741	3278	1139
742	3282	1135
743	3286	1130
744	3290	1126
745	3295	1122
746	3299	1117
747	3303	1113
748	3307	1108
749	3313	1104
750	3317	1099
751	3321	1095
752	3326	1091
753	3330	1086
754	3334	1082
755	3338	1077
756	3343	1073
757	3346	1068
758	3350	1063
759	3354	1059
760	3492	1096
761	3501	1093
762	3528	1096
763	3533	1091
764	3537	1086
765	3541	1081
766	3545	1077
767	3550	1072
768	3553	1067
769	3559	1063
770	3563	1058
771	3567	1053
772	3571	1048
773	3576	1044
774	3580	1039
775	3584	1034
776	3590	1030
777	3594	1025
778	3598	1020
779	3602	1016
780	3608	1011
781	3612	1007
782	3616	1002
783	3622	997
784	3625	993
785	3630	988
786	3634	983
787	3639	979
788	3643	974
789	3647	969
790	3651	964
791	3656	960
792	3660	955
793	3664	950
794	3670	946
795	3674	941
796	3678	936
797	3681	932
798	3688	927
799	3692	923
800	3696	918
801	3699	913
802	3705	909
803	3709	904
804	3712	899
805	3717	894
806	3722	890
807	3726	885
808	3730	880
809	3735	876
810	3739	871
811	3743	866
812	3747	862
813	3752	857
814	3756	852
815	3760	847
816	3764	843
817	3768	838
818	3772	833
819	3776	828
820	3780	824
821	3785	819
822	3788	814
823	3792	810
824	3799	805
825	3803	801
826	3807	796
827	3812	791
828	3817	787
829	3822	782
830	3825	778
831	3831	773
832	3835	768
833	3839	764
834	3845	759
835	3849	755
836	3853	750
837	3857	745
838	3863	741
839	3867	736
840	3870	731
841	3874	727
842	3880	722
843	3884	718
844	3889	713
845	3894	708
846	3899	704
847	3902	699
848	3907	694
849	3913	690
850	3917	685
851	3921	681
852	3927	676
853	3931	672
854	3935	667
855	3939	662
856	3945	658
857	3949	653
858	3953	648
859	3958	644
860	3962	639
861	3967	635
862	3971	630
863	3976	625
864	3980	621
865	3984	616
866	3990	612
867	3994	607
868	3998	602
869	4002	598
870	4007	593
871	4012	588
872	4015	584
873	4019	579
874	4027	575
875	4032	570
876	4036	566
877	4081	567
878	4089	563
879	4095	558
880	4110	555
881	4114	550
882	4119	545
883	4124	541
884	4128	536
885	4132	531
886	4138	527
887	4142	522
888	4146	517
889	4150	512
890	4155	508
891	4159	503
892	4163	498
893	4168	494
894	4172	489
895	4176	484
896	4179	479
897	4184	475
898	4188	470
899	4192	465
900	4196	461
901	4201	456
902	4205	451
903	4209	447
904	4213	442
905	4218	437
906	4223	433
907	4227	428
908	4231	423
909	4235	418
910	4239	414
911	4243	409
912	4248	404
913	4252	400
914	4256	395
915	4260	390
916	4265	386
917	4269	381
918	4274	376
919	4278	372
920	4283	367
921	4287	362
922	4291	357
923	4295	353
924	4299	348
925	4303	343
926	4307	339
927	4311	334
928	4315	329
929	4320	325
930	4324	320
931	4329	315
932	4334	311
933	4338	306
934	4342	301
935	4348	297
936	4352	292
937	4356	287
938	4362	283
939	4366	278
940	4371	274
941	4375	269
942	4379	264
943	4383	260
944	4387	255
945	4392	250
946	4397	246
947	4401	241
948	4405	236
949	4411	232
950	4415	227
951	4419	222
952	4425	218
953	4430	213
954	4434	208
955	4437	204
956	4445	199
957	4449	195
958	4453	190
959	4458	185
960	4462	181
961	4466	176
962	4470	171
963	4475	167
964	4479	162
965	4483	157
966	4488	153
967	4493	148
968	4496	143
969	4500	139
970	4506	134
971	4510	129
972	4514	125
973	4520	120
974	4524	116
975	4528	111
976	4532	106
977	4537	102
978	4542	97
979	4546	92
980	4550	88
981	4556	83
982	4560	78
983	4564	74
984	4570	69
985	4575	64
986	4578	60
987	4582	55
988	4588	51
989	4592	46
990	4596	41
991	4602	37
992	4606	32
993	4609	27
994	4614	23
995	4619	18
996	4623	13
997	4627	9
998	4632	4
999	4637	0
