iter	Logloss
0	0.6926825596
1	0.6922336982
2	0.6918539665
3	0.6914755838
4	0.6910830411
5	0.6907613746
6	0.6904059804
7	0.6900757988
8	0.6897407206
9	0.689458238
10	0.6891195804
11	0.6888488144
12	0.6886005678
13	0.68830233
14	0.6880625665
15	0.6878346983
16	0.6876202281
17	0.6873727824
18	0.6871483358
19	0.6868959514
20	0.6866827628
21	0.6864826208
22	0.6862830775
23	0.686072456
24	0.6858624795
25	0.6856452673
26	0.6854143532
27	0.6852570639
28	0.6850558267
29	0.6848512089
30	0.6846979233
31	0.6845609927
32	0.68441313
33	0.6842914731
34	0.68411621
35	0.6839801963
36	0.6838252029
37	0.6836776567
38	0.6835391464
39	0.6834379484
40	0.6833249337
41	0.6832095758
42	0.6831052593
43	0.6830016066
44	0.6828399325
45	0.6827209658
46	0.6826377666
47	0.6825180123
48	0.6824404121
49	0.6823175972
50	0.6821867259
51	0.6820732074
52	0.6819929397
53	0.6818564046
54	0.6817237704
55	0.6816499022
56	0.6815561921
57	0.6814330757
58	0.6813120206
59	0.6812190281
60	0.6811298067
61	0.6810694439
62	0.6809811061
63	0.6809184599
64	0.6808514236
65	0.6807532275
66	0.6806706671
67	0.6805822829
68	0.6805073311
69	0.6804605185
70	0.6803804113
71	0.6802847483
72	0.680198059
73	0.6801034908
74	0.6799986145
75	0.6799381748
76	0.6798401022
77	0.6797276897
78	0.6796256998
79	0.6795653181
80	0.6794929141
81	0.6794467354
82	0.6793670866
83	0.6792730335
84	0.6791824171
85	0.6791143284
86	0.6790419794
87	0.6790021529
88	0.6789335613
89	0.6788842817
90	0.67880134
91	0.6787403118
92	0.6786909471
93	0.6786240318
94	0.6785753861
95	0.6785067907
96	0.6784392525
97	0.6783967126
98	0.6783547965
99	0.678266696
100	0.6781621261
101	0.6780709201
102	0.6780152142
103	0.6779437132
104	0.6778767425
105	0.6777719947
106	0.6777090129
107	0.6776518147
108	0.6776063871
109	0.6775291476
110	0.6774600765
111	0.6774147458
112	0.6773366727
113	0.6772998957
114	0.6772434957
115	0.6772140551
116	0.6771665577
117	0.6771225377
118	0.6770728748
119	0.6769531066
120	0.6768947185
121	0.6768342468
122	0.676763899
123	0.6766834938
124	0.6766287134
125	0.6765836168
126	0.6765048489
127	0.6764209055
128	0.6763452385
